Classifier,Max_Depth,Training_Size,Accuracy,Precision,Recall,F1_Score,Training_Time
theClassifier,3,0.6,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,3,0.6,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
theClassifier,3,0.7,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,3,0.7,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
theClassifier,3,0.8,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,3,0.8,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
theClassifier,5,0.6,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,5,0.6,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
theClassifier,5,0.7,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,5,0.7,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
theClassifier,5,0.8,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,5,0.8,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
theClassifier,10,0.6,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,10,0.6,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
theClassifier,10,0.7,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,10,0.7,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
theClassifier,10,0.8,0.8620689655172413,0.7567567567567568,0.9032258064516129,0.823529411764706,0.015961408615112305
Sklearn,10,0.8,0.9310344827586207,0.9310344827586207,0.8709677419354839,0.9,0.0019948482513427734
