Classifier,Max_Depth,Training_Size,Accuracy,Precision,Recall,F1_Score,Training_Time
theClassifier,3,0.6,0.9083076923076923,0.9113382837027032,0.9083076923076923,0.9082751190460688,0.15917634963989258
Sklearn,3,0.6,0.9578461538461538,0.9585429485511718,0.9578461538461538,0.9578571109581864,0.007938861846923828
theClassifier,3,0.7,0.906070549630845,0.9088813408425561,0.906070549630845,0.9060383569139113,0.17898821830749512
Sklearn,3,0.7,0.9532403609515997,0.9541945205403889,0.9532403609515997,0.9532497075924207,0.007015228271484375
theClassifier,3,0.8,0.8061538461538461,0.8061107054307134,0.8061538461538461,0.8061075123834706,0.09019851684570312
Sklearn,3,0.8,0.9489230769230769,0.9504067927236005,0.9489230769230769,0.9489370050462351,0.005547761917114258
theClassifier,5,0.6,0.996,0.9960307510348906,0.996,0.9959994133673558,0.16298151016235352
Sklearn,5,0.6,0.9846153846153847,0.9846470860263776,0.9846153846153847,0.9846129343016935,0.004842519760131836
theClassifier,5,0.7,0.9958982772764561,0.9959306507786152,0.9958982772764561,0.9958976830690206,0.1552906036376953
Sklearn,5,0.7,0.9835931091058244,0.9836023195846263,0.9835931091058244,0.9835917494920186,0.003988742828369141
theClassifier,5,0.8,0.9969230769230769,0.9969412191582003,0.9969230769230769,0.9969226917633625,0.2044844627380371
Sklearn,5,0.8,0.9803076923076923,0.9810278681318682,0.9803076923076923,0.9802854260303051,0.006982564926147461
theClassifier,10,0.6,0.9972307692307693,0.9972322990074738,0.9972307692307693,0.9972306834027754,0.18355751037597656
Sklearn,10,0.6,1.0,1.0,1.0,1.0,0.004984617233276367
theClassifier,10,0.7,0.9983593109105825,0.9983645153168932,0.9983593109105825,0.9983592224852417,0.20227622985839844
Sklearn,10,0.7,1.0,1.0,1.0,1.0,0.005983591079711914
theClassifier,10,0.8,0.9993846153846154,0.9993853445133066,0.9993846153846154,0.9993846009147576,0.22174930572509766
Sklearn,10,0.8,1.0,1.0,1.0,1.0,0.0073163509368896484
